"ALL ",000005534,"BRANCH", 0000000000000.00,"                              ","BRANDWAG                              ",000000,000.00
"0943",020241213,"PAY   ",-0000000008910.00,"ELECTRONIC BANKING PAYMENT TO ","CH506 CH5069 HR DES NHU2312:36        ",000509,000.00
"0943",020241213,"PAY   ",-0000000008948.72,"ELECTRONIC BANKING PAYMENT TO ","SN610 SN6104 NEW HA NHU2312:35        ",000509,000.00
"0943",020241213,"PAY   ",-0000000009306.37,"ELECTRONIC BANKING PAYMENT TO ","CR716 CR7167 RANDTI NHU2312:36        ",000509,000.00
"0943",020241213,"PAY   ",-0000000009499.00,"ELECTRONIC BANKING PAYMENT TO ","17201 172015 A KEEV ZCX8314:22        ",000509,000.00
"0943",020241213,"PAY   ",-0000000009598.50,"ELECTRONIC BANKING PAYMENT TO ","SK609 SK6094 KHAYA  NHU2312:35        ",000509,000.00
"0943",020241213,"PAY   ",-0000000009672.75,"ELECTRONIC BANKING PAYMENT TO ","SN609 SN6095 NGA TR NHU2312:35        ",000509,000.00
"0943",020241213,"PAY   ",-0000000009715.66,"ELECTRONIC BANKING PAYMENT TO ","SZ603 SZ6035 ZIMPOR NHU2312:35        ",000509,000.00
"0943",020241213,"PAY   ",-0000000010255.00,"ELECTRONIC BANKING PAYMENT TO ","E062  E062 FABERTEC NHU2312:36        ",000509,000.00
"0943",020241213,"PAY   ",-0000000010971.00,"ELECTRONIC BANKING PAYMENT TO ","CE702 CE7028 ELECTR ZCX8314:22        ",000509,000.00
"0943",020241213,"PAY   ",-0000000011673.45,"ELECTRONIC BANKING PAYMENT TO ","SK608 SK6088 KAW CI NHU2312:36        ",000509,000.00
"0943",020241213,"PAY   ",-0000000011952.00,"ELECTRONIC BANKING PAYMENT TO ","SS628 SS6284 SHAWN  NHU2312:35        ",000509,000.00
"0943",020241213,"PAY   ",-0000000012066.80,"ELECTRONIC BANKING PAYMENT TO ","CK507 CK5075 KIMCIT NHU2312:36        ",000509,000.00
"0943",020241213,"PAY   ",-0000000012898.72,"ELECTRONIC BANKING PAYMENT TO ","SL608 SL6087 LISEKH ZCX8314:23        ",000509,000.00
"0943",020241213,"PAY   ",-0000000013055.37,"ELECTRONIC BANKING PAYMENT TO ","SA621 SA6218 ANO KA NHU2312:35        ",000509,000.00
"0943",020241213,"PAY   ",-0000000013092.17,"ELECTRONIC BANKING PAYMENT TO ","ST610 ST6102 TSOGO  NHU2312:35        ",000509,000.00
"0943",020241213,"PAY   ",-0000000013190.43,"ELECTRONIC BANKING PAYMENT TO ","CB700 CB7009 BOLAND NHU2312:36        ",000509,000.00
"0943",020241213,"PAY   ",-0000000013370.91,"ELECTRONIC BANKING PAYMENT TO ","CD516 CD5160 DU TOI NHU2312:36        ",000509,000.00
"0943",020241213,"PAY   ",-0000000013458.24,"ELECTRONIC BANKING PAYMENT TO ","SC615 SC6157 CEDUMA NHU2312:35        ",000509,000.00
"0943",020241213,"PAY   ",-0000000013665.75,"ELECTRONIC BANKING PAYMENT TO ","CE700 CE7008 E&C EA NHU2312:36        ",000509,000.00
"0943",020241213,"PAY   ",-0000000013948.95,"ELECTRONIC BANKING PAYMENT TO ","CK507 CK5076 KIMCIT NHU2312:36        ",000509,000.00
"0943",020241213,"PAY   ",-0000000013982.99,"ELECTRONIC BANKING PAYMENT TO ","SL610 SL6108 LUAAZ  ZCX8314:23        ",000509,000.00
"0943",020241213,"PAY   ",-0000000014016.38,"ELECTRONIC BANKING PAYMENT TO ","SR613 SR6130 RELESE NHU2312:35        ",000509,000.00
"0943",020241213,"PAY   ",-0000000014278.40,"ELECTRONIC BANKING PAYMENT TO ","CH704 CH7041 HAGGIE NHU2312:36        ",000509,000.00
"0943",020241213,"PAY   ",-0000000014491.92,"ELECTRONIC BANKING PAYMENT TO ","SD610 SD6102 DRIEBO NHU2312:35        ",000509,000.00
"0943",020241213,"PAY   ",-0000000014722.88,"ELECTRONIC BANKING PAYMENT TO ","SA618 SA6185 AFRICA NHU2312:35        ",000509,000.00
"0943",020241213,"PAY   ",-0000000014974.77,"ELECTRONIC BANKING PAYMENT TO ","SV606 SV6064 VSK TR NHU2312:35        ",000509,000.00
"0943",020241213,"PAY   ",-0000000015500.00,"ELECTRONIC BANKING PAYMENT TO ","CD509 CD5097 DR DG  NHU2312:36        ",000509,000.00
"0943",020241213,"PAY   ",-0000000015532.12,"ELECTRONIC BANKING PAYMENT TO ","SB615 SB6154 BP TAU ZCX8314:21        ",000509,000.00
"0943",020241213,"PAY   ",-0000000015624.00,"ELECTRONIC BANKING PAYMENT TO ","SC619 SC6193 CAMOES ZCX8314:21        ",000509,000.00
"0943",020241213,"PAY   ",-0000000015653.61,"ELECTRONIC BANKING PAYMENT TO ","SM625 SM6253 MALUZA NHU2312:35        ",000509,000.00
"0943",020241213,"PAY   ",-0000000015784.38,"ELECTRONIC BANKING PAYMENT TO ","SC618 SC6181 CHESCA NHU2312:35        ",000509,000.00
"0943",020241213,"PAY   ",-0000000015989.59,"ELECTRONIC BANKING PAYMENT TO ","SA619 SA6190 ABSOLU NHU2312:35        ",000509,000.00
"0943",020241213,"PAY   ",-0000000016053.00,"ELECTRONIC BANKING PAYMENT TO ","SS620 SS6204 SANGO  NHU2312:35        ",000509,000.00
"0943",020241213,"PAY   ",-0000000016145.83,"ELECTRONIC BANKING PAYMENT TO ","72035 720350 DIV56  NHU2312:36        ",000509,000.00
"0943",020241213,"PAY   ",-0000000016781.62,"ELECTRONIC BANKING PAYMENT TO ","CM705 CM7058 MTN    NHU2312:36        ",000509,000.00
"0943",020241213,"PAY   ",-0000000017030.55,"ELECTRONIC BANKING PAYMENT TO ","SV606 SV6065 VOVO M NHU2312:35        ",000509,000.00
"0943",020241213,"PAY   ",-0000000017033.04,"ELECTRONIC BANKING PAYMENT TO ","SS628 SS6280 SKAPNO NHU2312:35        ",000509,000.00
"0943",020241213,"PAY   ",-0000000017058.96,"ELECTRONIC BANKING PAYMENT TO ","SM626 SM6268 MBOMA  NHU2312:35        ",000509,000.00
"0943",020241213,"PAY   ",-0000000017983.13,"ELECTRONIC BANKING PAYMENT TO ","SR611 SR6116 REMARK ZCX8314:21        ",000509,000.00
"0943",020241213,"PAY   ",-0000000018115.71,"ELECTRONIC BANKING PAYMENT TO ","SL609 SL6099 LOG TR ZCX8314:23        ",000509,000.00
"0943",020241213,"PAY   ",-0000000019120.61,"ELECTRONIC BANKING PAYMENT TO ","17235 172355 K KRUU ZCX8314:22        ",000509,000.00
"0943",020241213,"PAY   ",-0000000019438.68,"ELECTRONIC BANKING PAYMENT TO ","CT711 CT7110 TIP TR ZCX8314:22        ",000509,000.00
"0943",020241213,"PAY   ",-0000000020786.48,"ELECTRONIC BANKING PAYMENT TO ","SA618 SA6183 AL2KG  ZCX8314:21        ",000509,000.00
"0943",020241213,"PAY   ",-0000000020841.32,"ELECTRONIC BANKING PAYMENT TO ","SC617 SC6178 CALIBI ZCX8314:23        ",000509,000.00
"0943",020241213,"PAY   ",-0000000021258.78,"ELECTRONIC BANKING PAYMENT TO ","SL610 SL6106 LEBO & NHU2312:36        ",000509,000.00
"0943",020241213,"PAY   ",-0000000021412.36,"ELECTRONIC BANKING PAYMENT TO ","SM624 SM6247 MAJOR1 NHU2312:35        ",000509,000.00
"0943",020241213,"PAY   ",-0000000021871.67,"ELECTRONIC BANKING PAYMENT TO ","SA619 SA6190 ABSOLU NHU2312:35        ",000509,000.00
"0943",020241213,"PAY   ",-0000000022086.90,"ELECTRONIC BANKING PAYMENT TO ","CK712 CK7120 KALGRO ZCX8314:22        ",000509,000.00
"0943",020241213,"PAY   ",-0000000022449.87,"ELECTRONIC BANKING PAYMENT TO ","SR611 SR6116 REMARK ZCX8314:21        ",000509,000.00
"0943",020241213,"PAY   ",-0000000022980.87,"ELECTRONIC BANKING PAYMENT TO ","SL609 SL6099 LOG TR ZCX8314:23        ",000509,000.00
"0943",020241213,"PAY   ",-0000000023421.39,"ELECTRONIC BANKING PAYMENT TO ","SR606 SR6067 REATLE NHU2312:35        ",000509,000.00
"0943",020241213,"PAY   ",-0000000024729.83,"ELECTRONIC BANKING PAYMENT TO ","SC615 SC6155 CA BUI NHU2312:35        ",000509,000.00
